run_type,metric,mean,std
topo_dino_image_input_experiment,accuracy,0.5718954429030418,0.09121102179504725
topo_dino_image_input_experiment,recall_macro,0.5373387858271599,0.0930719836142745
topo_dino_image_input_experiment,precision_macro,0.5705403511722883,0.10625980949419321
topo_dino_image_input_experiment,f1_macro,0.5301346927881241,0.0953627058901064
topo_dino_image_input_experiment,auroc,0.8453699896732966,0.056236363224286955
topo_eucl_dino_image_input_experiment,accuracy,0.6290849869449934,0.09419193949437574
topo_eucl_dino_image_input_experiment,recall_macro,0.5995075876514117,0.09388107775182002
topo_eucl_dino_image_input_experiment,precision_macro,0.6218269889553388,0.10316484210196705
topo_eucl_dino_image_input_experiment,f1_macro,0.5931400756041209,0.09706253146773194
topo_eucl_dino_image_input_experiment,auroc,0.8537766685088476,0.05904788064737993
topo_gray_image_image_input_experiment,accuracy,0.637254923582077,0.12745097279548645
topo_gray_image_image_input_experiment,recall_macro,0.6002874821424484,0.13447941839694977
topo_gray_image_image_input_experiment,precision_macro,0.6127544641494751,0.1475019454956055
topo_gray_image_image_input_experiment,f1_macro,0.584759384393692,0.14637109637260434
topo_gray_image_image_input_experiment,auroc,0.8746189475059509,0.04745364189147949
topo_eucl_gray_image_image_input_experiment,accuracy,0.586274528503418,0.08385649116563525
topo_eucl_gray_image_image_input_experiment,recall_macro,0.5581938654184342,0.0894271082399278
topo_eucl_gray_image_image_input_experiment,precision_macro,0.6036632567644119,0.11202626777691228
topo_eucl_gray_image_image_input_experiment,f1_macro,0.5475393533706665,0.10268315229700528
topo_eucl_gray_image_image_input_experiment,auroc,0.8426104605197906,0.051065883907834245
Unknown Type,accuracy,,
Unknown Type,recall_macro,,
Unknown Type,precision_macro,,
Unknown Type,f1_macro,,
Unknown Type,auroc,,
